"ID","PubID","Journal","Outcome","Notes","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time_h","water_depriv_h","food_depriv_h"
1287,"Alkanat 2024","EUROPEAN JOURNAL OF NEUROSCIENCE","FST",NA,"SD","M","not given",NA,NA,NA,NA,NA,NA,21,105,NA,NA
1407,"Sen 2021","NEUROSCIENCE LETTERS","FST",NA,"SD","M","not given",343,28.28,"8",339,19.8,"8",14,14,NA,NA
1502,"Lefter 2018","NEUROPHYSIOLOGY","FST",NA,"Wistar",NA,NA,40,6.71,"5",50,11.18,"5",7,42,NA,NA
1565,"Ghalandari-Shamami 2019","NEUROCHEMICAL RESEARCH","FST",NA,"Wistar","M","4",65,15.87,"7",114,26.46,"7",10,20,NA,NA
1764,"Zhong 2019","Front Psychiatry","FST",NA,"SD","M","8",32,20.55,"10",71,31.62,"10",21,84,NA,NA
1796,"Luo 2015","Neuropharmacology","FST",NA,"SD","M","8",29,8,"7",60,3,"7",10,40,NA,NA
1983,"Lehner 2017","BEHAVIOURAL BRAIN RESEARCH","FST","restrained daily on Mon-Fri each week ","Wistar","M",NA,260,9.49,"10",287,3,"9",15,45,NA,NA
2075,"Zhu 2022","Front Pharmacol","FST",NA,"SD","M","8",99,31.18,"12",233,90.07,"12",21,63,NA,NA
2300,"Aboul-Fotouh 2018","Behav Pharmacol","FST",NA,"Wistar","M",NA,64,8.49,"8",117,31.11,"8",28,168,NA,NA
2319,"Ndavoumta 2025","IBRO Neuroscience Reports","FST",NA,"Wistar","M","8-10",150,11.18,"5",171,NA,"5",21,42,NA,NA
2319,"Ndavoumta 2025","IBRO Neuroscience Reports","FST",NA,"Wistar","F","8-10",114,6.71,"5",172,17.89,"5",21,42,NA,NA
2504,"Zhang 2022","Food Chem Toxicol","FST","Method taken from cited article. Data expressed as % ","Wistar","M",NA,99,11,"12",229,28,"12",21,126,NA,NA
2506,"Shin 2019","Eur J Neurosci","FST",NA,"SD","M",NA,49,22.14,"10",115,31.62,"10",14,84,NA,NA
2714,"Li 2023","J Affect Disord","FST",NA,"SD",NA,NA,100,6.32,"10",116,9.49,"10",28,168,NA,NA
2744,"Arab 2023","Pharmaceuticals (Basel)","FST","Error bars not specified as SD or SEM","Wistar","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
2795,"Zhang 2022","NEUROSCIENCE","FST",NA,"Wistar-Kyoto","M",NA,20,36.77,"8",89,101.19,"10",28,168,NA,NA
2926,"Di 2017","Psychopharmacology (Berl)","FST",NA,"Wistar","F","16",82,24.6,"5",120,15.65,"5",21,126,NA,NA
3077,"Abuelezz 2018","Behav Pharmacol","FST",NA,"Wistar","M",NA,54,13.86,"12",105,13.86,"12",28,168,NA,NA
3263,"Pechlivanova 2023","REVISTA BRASILEIRA DE FARMACOGNOSIA-BRAZILIAN JOURNAL OF PHARMACOGNOSY","FST","CRS was 1 h/day for 14 days, then escalated to 6 h/day for an additional 14 days. No explanation of why.","Wistar","M",NA,159,16.97,"8",134,31.11,"8",NA,1,NA,NA
3516,"Nozari 2020","Basic and Clinical Neuroscience","FST",NA,"Wistar","M",NA,86,4,"8",242,12,"8",21,126,NA,NA
3569,"Zamani 2024","Journal of Advances in Medical and Biomedical Research","FST",NA,"Wistar","M",NA,NA,NA,NA,NA,NA,NA,14,84,NA,NA
3670,"Zhou 2021","JOURNAL OF ETHNOPHARMACOLOGY","FST",NA,"Wistar","M","8",75,19.8,"8",113,19.8,"8",28,168,NA,NA
3676,"Gao 2024","Brain Res Bull","FST",NA,"SD","M","4",21,41.11,"10",84,28.46,"10",14,28,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","FST",NA,"SD","M","6-8",105,66.14,"6",138,90.63,"6",21,84,NA,NA
3926,"Yan 2023","NEUROPHARMACOLOGY","FST",NA,"SD","F","6-8",NA,NA,NA,NA,NA,NA,21,84,NA,NA
4002,"Han 2017","Sci Rep","FST","Method taken from cited article","SD","M",NA,120,53.67,"20",170,67.08,"20",14,28,NA,NA
4025,"Moreno 2020","Cells","FST","FST data expressed as ""moving time"". ","SD","M","6",NA,NA,NA,NA,NA,NA,21,42,NA,NA
4027,"Kim 2025","Laryngoscope","FST",NA,"SD","M","7",14,6.32,"10",39,25.3,"10",10,20,NA,NA
4041,"Ayatollahi 2020","PHYSIOLOGY AND PHARMACOLOGY","FST",NA,"Wistar","M",NA,87,19.6,"6",218,22.05,"6",21,126,NA,NA
4070,"Liu 2018","Transl Psychiatry","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,21,126,NA,NA
4832,"van 2016","Metab Brain Dis","FST","Subjected to maternal separation","SD","M",NA,115,9.49,"10",92,18.97,"10",5,20,NA,NA
4846,"Olesen 2015","Hippocampus","FST","Data expressed as 'diference between % immobility between test and pre-test""","Wistar","M","7-8",NA,NA,NA,NA,NA,NA,21,126,NA,NA
4911,"Zou 2024","Mol Nutr Food Res","FST","Data from after first 4 weeks of CRS","SD","M","6",NA,NA,NA,NA,NA,NA,28,224,NA,NA
4961,"Tang 2024","Drug Des Devel Ther","FST",NA,"SD","M",NA,24,2.6,"6",22,6,"6",28,84,NA,NA
4973,"Hennessy 2022","Neuroimage: Reports","FST",NA,"SD","M",NA,NA,NA,NA,NA,NA,NA,13,32,NA,NA
5014,"Elfakharany 2024","Mol Neurobiol","FST","median (intra-quartile range) given","Wistar","M","8-10",NA,NA,NA,NA,NA,NA,21,126,NA,NA
5109,"Du 2023","Neuroreport","FST",NA,"SD","M","5-6",41,4.9,"6",51,12.25,"6",28,168,NA,NA
