"PMID","PubID","Journal","Outcome","strain","sex","age","control_mean","control_sd","control_n","test_mean","test_sd","test_n","total_days","total_time","water_depriv_h","food_depriv_h"
38992775,"Gao 2024","Brain Res Bull","FST","SD","M","4",21,41.1096095821889,"10",84,28.4604989415154,"10",14,1680,NA,NA
38882046,"Tang 2024","Drug Des Devel Ther","FST","SD","M",NA,24,2.6,"6",22,6,"6",28,5040,NA,NA
37578355,"Koncz 2023","Int J Neuropsychopharmacol","FST","Wistar","M","7",147,87,"9",234,27,"9",10,1200,NA,NA
36746244,"Li 2023","J Affect Disord","FST","SD",NA,NA,100,6.32455532033676,"10",116,9.48683298050514,"10",28,10080,NA,NA
36728843,"Du 2023","Neuroreport","FST","SD","M","5-6",41,4.89897948556636,"6",51,12.2474487139159,"6",28,10080,NA,NA
36162616,"Zhang 2022","Food Chem Toxicol","FST","Wistar","M",NA,99,11,"12",229,28,"12",21,7560,NA,NA
36100011,"Zhi 2023","Behav Brain Res","FST","SD","M","6",19,12.2474487139159,"6",18,9.79795897113271,"6",21,7560,NA,NA
35814204,"Zhu 2022","Front Pharmacol","FST","SD","M","8",99,31.1769145362398,"12",233,90.0666419935816,"12",21,3780,NA,NA
35528472,"Adachi 2021","J Tradit Complement Med","FST","Wistar","M","7",56,29,"5",162,25,"5",21,7560,NA,NA
35230663,"Li 2022","Mol Neurobiol","FST","SD","M",NA,50,4,"5",68,5,"5",28,6720,NA,NA
34704719,"Meng 2021","Pain Physician","FST","SD","M",NA,136,37,"10",166,23,"10",21,7560,NA,NA
34409523,"Afzal 2021","Neurochem Res","FST","Wistar","M",NA,245,27.712812921102,"12",278,20.7846096908265,"12",14,3360,NA,NA
34052298,"Suwanjang 2021","Neurochem Int","FST","SD","M",NA,43,26.944387170615,"6",99,9.79795897113271,"6",21,7560,NA,NA
33766670,"Li 2021","J Proteomics","FST","Wistar","M",NA,102,7.07106781186548,"8",114,7.63675323681471,"8",28,10080,NA,NA
33505499,"Zhu 2021","Evid Based Complement Alternat Med","FST","SD","M",NA,106,1.6,"8",208,2.2,"8",21,3780,NA,NA
33276022,"Peng 2021","Neurochem Int","FST","SD","M","12",14,4.91934955049954,"5",21,5.38887743412299,"6",21,8190,NA,NA
30740068,"Zhong 2019","Front Psychiatry","FST","SD","M","8",32,20.5548047910945,"10",71,31.6227766016838,"10",21,5040,NA,NA
30735600,"Shin 2019","Eur J Neurosci","FST","SD","M",NA,49,22.1359436211787,"10",115,31.6227766016838,"10",14,5040,NA,NA
29561292,"Aboul-Fotouh 2018","Behav Pharmacol","FST","Wistar","M",NA,64,8.48528137423857,"8",117,31.1126983722081,"8",28,10080,NA,NA
29379991,"Khedr 2018","Naunyn Schmiedebergs Arch Pharmacol","FST","Wistar","M",NA,51.4,9.39,"10",83.3,24.21,"10",42,10080,NA,NA
29175030,"Wei 2018","Neurosci Lett","FST","Wistar","M",NA,56,12,"8",136,30,"8",35,12600,NA,NA
28866053,"Samarghandian 2017","Neurosci Lett","FST","Wistar",NA,NA,189,82.0243866176395,"8",343,70.7106781186548,"8",21,2520,NA,NA
28763303,"Abuelezz 2018","Behav Pharmacol","FST","Wistar","M",NA,54,13.856406460551,"12",105,13.856406460551,"12",28,10080,NA,NA
28420875,"Han 2017","Sci Rep","FST","SD","M",NA,120,53.665631459995,"20",170,67.0820393249937,"20",14,1680,NA,NA
27957715,"Di 2017","Psychopharmacology (Berl)","FST","Wistar","F","16",82,24.5967477524977,"5",120,15.6524758424985,"5",21,7560,NA,NA
27927737,"García-Rojo 2017","Int J Neuropsychopharmacol","FST","SD","M",NA,111,15.8745078663875,"7",172,7.93725393319377,"7",14,2100,NA,NA
27916420,"Magdy 2017","Biomed Pharmacother","FST","Wistar","M",NA,52,10.3923048454133,"12",83,24.2487113059643,"12",42,10080,NA,NA
27346276,"Wang 2016","Brain Res Bull","FST","Wistar","M",NA,83,20,"10",123,29,"10",21,7560,NA,NA
27150225,"Wisłowska-Stanek 2016","Behav Brain Res","FST","Wistar","M",NA,269,5.65685424949238,"8",286,2.82842712474619,"8",35,6300,NA,NA
27023176,"Mehta-Raghavan 2016","Transl Psychiatry","FST","Wistar Kyoto More Immobile ","M","""adult""",25,15.8113883008419,"10",17,9.48683298050514,"10",14,1680,NA,NA
27023176,"Mehta-Raghavan 2016","Transl Psychiatry","FST","Wistar Kyoto Less Immobile ","M","""adult""",2.5,1.58113883008419,"10",7,3.79473319220206,"10",14,1680,NA,NA
26947756,"Liu 2016","Behav Brain Res","FST","SD","M",NA,96,8.48528137423857,"8",115,16.9705627484771,"8",21,7560,NA,NA
26778944,"Lee 2015","Front Neurosci","FST","SD","M","8",23,3.16227766016838,"10",31,3.16227766016838,"10",21,2520,NA,NA
26555398,"van 2016","Metab Brain Dis","FST","SD","M",NA,115,9.48683298050514,"10",92,18.9736659610103,"10",5,1200,NA,NA
26010004,"Castañeda 2015","J Neurosci Res","FST","SD","M",NA,107,16.9705627484771,"8",166,5.65685424949238,"8",14,2100,NA,NA
25826421,"Habib 2015","PLoS One","FST","Wistar","M",NA,53,4.5,"9",76,6.9,"9",42,10080,NA,NA
25446675,"Luo 2015","Neuropharmacology","FST","SD","M","8",29,8,"7",60,3,"7",10,2400,NA,NA
25315361,"Aboul-Fotouh 2015","Psychopharmacology (Berl)","FST","Wistar","M",NA,61,19.7989898732233,"8",152,19.7989898732233,"8",42,10080,NA,NA
39432823,"Zou 2024","Mol Nutr Food Res","SPT","SD","M","6",81,3.4,NA,55,5,NA,28,13440,NA,NA
39432823,"Zou 2024","Mol Nutr Food Res","SPT","SD","M","6",81,3.4,NA,59,4.6,NA,28,13440,NA,NA
39295891,"Qian 2020","Evid Based Complement Alternat Med","SPT","Wistar","M","9",52,21,"10",30,17,"10",28,5040,24,24
38992775,"Gao 2024","Brain Res Bull","SPT","SD","M","4",73,9.80306074652198,"10",51,12.0166551086398,"10",14,1680,12,12
38768165,"Shen 2024","PLoS One","SPT","SD","M",NA,96,NA,"6",70,NA,"6",28,13440,24,24
38703343,"Elfakharany 2024","Mol Neurobiol","SPT","Wistar","M","8-10",71,19,NA,32,22,NA,21,7560,16,NA
38655362,"Wang 2024","Heliyon","SPT","SD","M",NA,64,5.2,"11",68,8,"11",7,2520,24,24
38655362,"Wang 2024","Heliyon","SPT","SD","M",NA,64,5.2,"11",70,6.2,"11",14,5040,24,24
38655362,"Wang 2024","Heliyon","SPT","SD","M",NA,64,5.2,"11",58,8,"11",21,7560,24,24
37917302,"Jiang 2024","Mol Neurobiol","SPT","SD","M",NA,72,9.9498743710662,"11",43,19.8997487421324,"11",7,2520,23,23
37917302,"Jiang 2024","Mol Neurobiol","SPT","SD","M",NA,74,6.6332495807108,"11",37,26.5329983228432,"11",14,5040,23,23
37917302,"Jiang 2024","Mol Neurobiol","SPT","SD","M",NA,70,9.9498743710662,"11",35,16.583123951777,"11",21,7560,23,23
37259443,"Arab 2023","Pharmaceuticals (Basel)","SPT","Wistar","M",NA,81,6,"10",45,9,"10",21,7560,16,NA
36746244,"Li 2023","J Affect Disord","SPT","SD",NA,NA,79,12.6491106406735,"10",67,8.53814968245463,"10",28,10080,23,23
36345420,"Wang 2022","Neuropsychiatr Dis Treat","SPT","SD","M","4",91,3,"12",74,9.5,"12",28,6720,NA,NA
36162616,"Zhang 2022","Food Chem Toxicol","SPT","Wistar","M",NA,80,8,"12",55,8,"12",21,7560,12,12
36100011,"Zhi 2023","Behav Brain Res","SPT","SD","M","6",90,NA,"6",89,1.71464281994822,"6",21,7560,24,24
35925279,"Lyu 2022","Psychopharmacology (Berl)","SPT","Wistar-Kyoto","M","8",86,2.82842712474619,"8",88,2.82842712474619,"8",28,10080,0,0
35873784,"Zhao 2022","Front Neurol","SPT","SD","M",NA,85,8,"8",74,9,"8",21,3780,NA,NA
35814204,"Zhu 2022","Front Pharmacol","SPT","SD","M","8",75,6.92820323027551,"12",51,10.3923048454133,"12",21,3780,24,24
35780963,"Liu 2022","J Affect Disord","SPT","SD","M",NA,80,9.48683298050514,"10",61,25.298221281347,"10",21,7560,6,6
35727683,"Feng 2022","Andrologia","SPT","SD","M",NA,72,1.5,"10",46,2.5,"10",NA,NA,24,24
35615771,"Hong 2022","J Int Med Res","SPT","SD","M",NA,72,2.21359436211787,"10",46,2.84604989415154,"10",28,NA,24,24
35528472,"Adachi 2021","J Tradit Complement Med","SPT","Wistar","M","7",85,7,NA,53,9,NA,21,7560,12,12
35252485,"Olave 2022","Neurobiol Stress","SPT","Wistar","M",NA,77,21,"9",31,33,"9",14,2100,NA,NA
35252485,"Olave 2022","Neurobiol Stress","SPT","Wistar","F",NA,71,18,"9",81,NA,"9",14,NA,NA,NA
35230663,"Li 2022","Mol Neurobiol","SPT","SD","M",NA,82,1.9,NA,50,6.5,NA,28,6720,NA,NA
34704719,"Meng 2021","Pain Physician","SPT","SD","M",NA,83,3.6,"10",68,10,"10",21,7560,24,NA
34167364,"Bagheri 2021","Hum Exp Toxicol","SPT","Wistar","M",NA,75,15.3,"9",42,10.5,"9",21,2520,NA,NA
33766670,"Li 2021","J Proteomics","SPT","Wistar","M",NA,81,7.63675323681471,"8",71,5.09116882454314,"8",28,10080,23,23
33505499,"Zhu 2021","Evid Based Complement Alternat Med","SPT","SD","M",NA,73,7,"8",46,3,"8",21,3780,24,24
33291797,"Moreno 2020","Cells","SPT","SD","M","6",90,0.9,"9",70,5.7,"9",21,2520,NA,NA
33276022,"Peng 2021","Neurochem Int","SPT","SD","M","12",94,2.45967477524977,"5",81,11.0227038425243,"6",21,8190,12,12
30740068,"Zhong 2019","Front Psychiatry","SPT","SD","M","8",76,12.3328828746567,"10",57,14.2302494707577,"10",21,5040,NA,NA
29561292,"Aboul-Fotouh 2018","Behav Pharmacol","SPT","Wistar","M",NA,90,7.3539105243401,"8",78,17.5362481734264,"8",7,2520,0,0
29561292,"Aboul-Fotouh 2018","Behav Pharmacol","SPT","Wistar","M",NA,90,7.3539105243401,"8",61,17.5362481734264,"8",14,5040,0,0
29561292,"Aboul-Fotouh 2018","Behav Pharmacol","SPT","Wistar","M",NA,90,7.3539105243401,"8",63,18.3847763108502,"8",21,7560,0,0
29561292,"Aboul-Fotouh 2018","Behav Pharmacol","SPT","Wistar","M",NA,90,7.3539105243401,"8",61,12.1622366364086,"8",28,10080,0,0
29175030,"Wei 2018","Neurosci Lett","SPT","Wistar","M",NA,83,4,"10",79,4,"10",7,2520,23,23
29175030,"Wei 2018","Neurosci Lett","SPT","Wistar","M",NA,83,4,"10",62,2.5,"10",14,5040,23,23
29175030,"Wei 2018","Neurosci Lett","SPT","Wistar","M",NA,83,4,"10",78,5,"10",21,7560,23,23
29175030,"Wei 2018","Neurosci Lett","SPT","Wistar","M",NA,83,4,"10",80,4,"10",28,10080,23,23
