PMID,Title,Authors,Journal/Book,Publication Year,DOI,Was the allocation sequence adequately generated and applied?,Were the groups similar at baseline or were they adjusted for confounders in the analysis?,Was the allocation to the different groups adequately concealed?,Were the animals randomly housed during the experiment?,Were the caregivers and/or investigators blinded from knowledge which intervention each animal received during the experiment?,Were animals selected at random for outcome assessment?,Was the outcome assessor blinded?,Were incomplete outcome data adequately addressed?,Are reports of the study free of selective outcome reporting?,Was the study apparently free of other problems that could result in high risk of bias? (Marked as 'unclear' if experimental unit is not explicitly reported),Notes
39432823,Yeast Extract Peptides Alleviate Depression in Chronic Restraint Stress Rats by Alleviating Hippocampal Neuronal Apoptosis and Dysbiosis of the Gut Microbiota,"Zou Z, Xiao N, Chen Z, Lin X, Li Y, Li P, Cheng Q, Du B.",Mol Nutr Food Res,2024,10.1002/mnfr.202300467,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"We assume Fig 1C is the FST data. It decribed as ""immobility time of rats in SPT"" in the legend."
39295891,A Comparison Study of Chaihu Shugan San and Fluoxetine on Antidepression and Regulating Blood Rheology Effects with Chronic Restrained Stress Rats,"Qian M, Peng R, Yue C, Yang Z, Zhu H, Liu B, Xie M.",Evid Based Complement Alternat Med,2020,10.1155/2020/6426383,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"Methods describes n = 10, results report n = 8"
39214423,Glucocorticoid alleviates hypothalamic nerve injury via remodeling HPA axis homeostasis in stressed rats,"Yi S, Zhao B, Wei L, Yao Z, Yang B.",Behav Brain Res,2024,10.1016/j.bbr.2024.115223,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,Unclear,"Methods describes n = 12, results report n = 6"
39178027,Effects of chronic stress on rat heart function following regional ischemia: a sex-dependent investigation,"Cairns M, Odendaal C, O'Brien C, Marais E, Oestlund I, Storbeck KH, Sishi B, Joseph D, Smith C, Essop MF.",Am J Physiol Heart Circ Physiol,2024,10.1152/ajpheart.00424.2024,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,No,Yes,No,"""initial sample size: n = 8/group, per sex with an additional n = 4 male controls due to perfusion difficulties""; ""animals that fell off the maze were excluded from analyses""; n = 9 reported for male rats in the control group in the EPM."
38992775,Neuropathological implication of high blood bilirubin in patients and model rats with depression,"Gao Y, Ling Y, Li J, Xu Y, Ge J, Xia Q.",Brain Res Bull,2024,10.1016/j.brainresbull.2024.111028,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,No,"""Twenty 4-week-old male Sprague–Dawley (SD) rats, weighing 200–220g, were purchased from Pizhou Oriental Breeding Co., Ltd"";  ""After 1 week of acclimation, 30 SD rats were divided into three groups"""
38882046,Microbiome Metabolomic Analysis of the Anxiolytic Effect of Baihe Dihuang Decoction in a Rat Model of Chronic Restraint Stress,"Tang L, Liu J, Yang H, Zhao HQ, Hu C, Ma SJ, Qing YH, Yang L, Zhou RR, Zhang SH.",Drug Des Devel Ther,2024,10.2147/DDDT.S458983,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
38768165,Exploring pathogenesis and biomarkers through establishment of a rat model of male infertility with liver depression and kidney deficiency,"Shen Y, Fan J, Liu S, Tao L, Yang Q, Shen X.",PLoS One,2024,10.1371/journal.pone.0303189,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,"Groups were n = 12, no indication of whether data from all 24 were reported."
38703343,"Neuroprotective Role of Selenium Nanoparticles Against Behavioral, Neurobiochemical and Histological Alterations in Rats Subjected to Chronic Restraint Stress","Elfakharany SA, Eskaros SS, Azhary NME, Abdelmonsif DA, Zeitoun TM, Ammar GAG, Hatem YA.",Mol Neurobiol,2024,10.1007/s12035-024-04196-3,Unclear,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,Yes,Unclear,
38655362,Shenyu ningshen tablet reduced neuronal damage in the hippocampus of chronic restraint stress model rat by inhibiting A1-reactive astrocytes,"Wang Y, Li S, Chen M, Zeng M, Zhou L, Yao R, Pang B, Xu Y, Cao S, Guo S, Cui X.",Heliyon,2024,10.1016/j.heliyon.2024.e28916,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Data complete,Yes,Unclear,
37917302,Acupuncture Ameliorates Depression-Like Behaviors Through Modulating the Neuroinflammation Mediated by TLR4 Signaling Pathway in Rats Exposed to Chronic Restraint Stress,"Jiang H, Long X, Wang Y, Zhang X, Chen L, Yang X, Zhao B, Zhang Y, Chai Y, Bao T.",Mol Neurobiol,2024,10.1007/s12035-023-03737-6,Yes,Similar at baseline,Unclear,Unclear,Unclear,Unclear,Unclear,Unclear,Yes,Unclear,
