"ID","PubID","Outcome","sex","strain","effect_size","CI_LB","CI_UB","total_time_h","water_depriv_h"
1407,"Sen 2021","FST","M","SD",-0.155,-1.136,0.827,14,NA
1502,"Lefter 2018","FST",NA,"Wistar",0.979,-0.333,2.291,42,NA
1565,"Ghalandari-Shamami 2019","FST","M","Wistar",2.102,0.797,3.407,20,NA
1764,"Zhong 2019","FST","M","SD",1.401,0.422,2.379,84,NA
1796,"Luo 2015","FST","M","SD",4.802,2.738,6.867,40,NA
1983,"Lehner 2017","FST","M","Wistar",3.579,2.128,5.03,45,NA
2075,"Zhu 2022","FST","M","SD",1.92,0.952,2.887,63,NA
2300,"Aboul-Fotouh 2018","FST","M","Wistar",2.197,0.956,3.438,168,NA
2319,"Ndavoumta D. 2025","FST","F","Wistar",3.875,1.773,5.978,42,NA
2504,"Zhang 2022","FST","M","Wistar",5.9,4.049,7.751,126,NA
2506,"Shin 2019","FST","M","SD",2.316,1.183,3.448,84,NA
2714,"Li 2023","FST",NA,"SD",1.9,0.844,2.957,168,NA
2795,"Zhang 2022","FST","M","Wistar-Kyoto",0.824,-0.143,1.792,168,NA
2926,"Di Liberto 2017","FST","F","Wistar",1.664,0.226,3.102,126,NA
3077,"Abuelezz 2018","FST","M","Wistar",3.553,2.268,4.837,168,NA
3263,"Pechlivanova 2023","FST","M","Wistar",-0.943,-1.976,0.09,1,NA
3516,"Nozari M. 2020","FST","M","Wistar",16.487,10.691,22.283,126,NA
3670,"Zhou 2021","FST","M","Wistar",1.814,0.65,2.978,168,NA
3676,"Gao 2024","FST","M","SD",1.706,0.683,2.73,28,NA
3926,"Yan 2023","FST","M","SD",0.384,-0.758,1.526,84,NA
4002,"Han 2017","FST","M","SD",0.807,0.162,1.451,28,NA
4027,"Kim 2025","FST","M","SD",1.298,0.334,2.263,20,NA
4041,"Ayatollahi 2020","FST","M","Wistar",5.795,3.215,8.374,126,NA
4832,"van Zyl 2016","FST","M","SD",-1.469,-2.456,-0.481,20,NA
4961,"Tang 2024","FST","M","SD",-0.399,-1.542,0.744,84,NA
5109,"Du 2023","FST","M","SD",0.989,-0.21,2.188,168,NA
5214,"Afzal 2021","FST","M","Wistar",1.301,0.42,2.182,56,NA
5216,"Ahmed 2023","FST","M","Wistar",17.606,12.08,23.132,105,NA
5240,"Khedr 2018","FST","M","Wistar",1.664,0.647,2.681,168,NA
5365,"Magdy 2017","FST","M","Wistar",1.604,0.684,2.524,168,NA
5437,"Sarawi 2025","FST","M","SD",2.421,0.931,3.91,87,NA
5446,"Peng 2022","FST","M","Wistar",3.224,2.138,4.309,168,NA
5610,"Mostardeiro V.B. 2025","FST","M","Wistar",2.228,0.981,3.476,112,NA
5623,"Zhi 2023","FST","M","SD",-0.083,-1.215,1.049,126,NA
5627,"Feng 2019","FST","M","Wistar",2.762,1.643,3.88,126,NA
5699,"Wei 2018","FST","M","Wistar",3.31,1.801,4.818,210,NA
5748,"Sakhri 2021","FST","M","Wistar",4.865,2.398,7.331,126,NA
5993,"Ruanpang 2025","FST","M","Wistar",1.19,0.239,2.141,21,NA
5993,"Ruanpang 2025","FST","M","Wistar",1.249,0.29,2.207,42,NA
5993,"Ruanpang 2025","FST","M","Wistar",1.943,0.88,3.007,84,NA
6013,"Suwanjang 2021","FST","M","SD",2.549,1.026,4.073,126,NA
6184,"Li 2022","FST","M","SD",3.589,1.586,5.591,112,NA
6269,"Koncz 2023","FST","M","Wistar",1.286,0.271,2.301,20,NA
6305,"Lee 2015","FST","M","SD",2.424,1.27,3.579,42,NA
6987,"Peng 2021","FST","M","SD",1.233,-0.06,2.527,136,NA
7023,"Liu 2016","FST","M","SD",1.339,0.254,2.423,126,NA
7286,"Adachi 2021","FST","M","Wistar",3.534,1.55,5.518,126,NA
7592,"Zhu 2021","FST","M","SD",50.126,32.731,67.521,63,NA
7660,"Yu 2024","FST","Unclear","Unclear",-0.769,-1.785,0.246,126,NA
7715,"García-Rojo 2017","FST","M","SD",4.55,2.566,6.534,35,NA
8156,"Seo 2019","FST","M","SD",1.885,0.525,3.245,168,NA
8158,"Wisłowska-Stanek 2016","FST","M","Wistar",3.591,2.007,5.175,105,NA
8159,"Habib 2015","FST","M","Wistar",3.76,2.223,5.297,168,NA
8451,"Chen 2025","FST","M","SD",3.431,1.996,4.866,112,NA
8463,"Ratajczak 2020","FST","M","SD",0.858,0.267,1.45,28,NA
8548,"Kuan 2024","FST","M","Long-Evans",0.997,0.149,1.846,28,NA
8637,"Wang 2025","FST","F (pregnant)","SD",1.7,0.725,2.676,15,NA
8767,"Aboul-Fotouh S. 2015","FST","M","Wistar",4.345,2.548,6.141,168,NA
8885,"Li 2021","FST","M","Wistar",1.541,0.425,2.657,168,NA
8964,"Phachonpai W. 2024","FST","M","SD",2.392,1.244,3.541,84,NA
8964,"Phachonpai W. 2024","FST","M","SD",1.651,0.636,2.666,168,NA
8964,"Phachonpai W. 2024","FST","M","SD",1.608,0.6,2.617,252,NA
8964,"Phachonpai W. 2024","FST","M","SD",1.689,0.668,2.711,336,NA
8989,"Arab H.H. 2023","FST","M","Wistar",5.625,3.106,8.144,126,NA
9029,"Mehta-Raghavan 2016","FST","M","Wistar Kyoto More Immobile ",-0.588,-1.483,0.308,28,NA
9029,"Mehta-Raghavan 2016","FST","M","Wistar Kyoto Less Immobile ",1.484,0.494,2.474,28,NA
9442,"Meng 2021","FST","M","SD",0.933,0.01,1.856,126,NA
9542,"Saeidi 2025","FST","M","Wistar",9.906,6.09,13.722,90,NA
9638,"Zhang H. 2021","FST","M","Wistar",4.619,2.742,6.495,126,NA
9643,"Pan 2019","FST","M","SD",2.766,1.474,4.058,63,NA
9663,"Ampuero 2015","FST","M","SD",1.006,0.119,1.893,20,NA
9663,"Ampuero 2015","FST","M","SD",1.593,0.634,2.552,20,NA
9825,"Samarghandian 2017","FST",NA,"Wistar",1.901,0.72,3.082,42,NA
9900,"Wang 2016","FST","M","Wistar",1.538,0.54,2.535,126,NA
1129,"Liang S. 2015","SPT","M","SD",-1.573,-2.694,-0.452,126,6
2075,"Zhu 2022","SPT","M","SD",-2.624,-3.715,-1.532,63,24
2165,"Zhu Ying-Li 2020","SPT","M","SD",-2.327,-3.462,-1.192,126,24
2186,"Qian 2020","SPT","M","Wistar",-1.103,-2.044,-0.162,84,24
2300,"Aboul-Fotouh 2018","SPT","M","Wistar",-0.844,-1.866,0.179,42,0
2300,"Aboul-Fotouh 2018","SPT","M","Wistar",-2.039,-3.247,-0.831,84,0
2300,"Aboul-Fotouh 2018","SPT","M","Wistar",-1.823,-2.989,-0.657,126,0
2300,"Aboul-Fotouh 2018","SPT","M","Wistar",-2.728,-4.09,-1.367,168,0
2504,"Zhang 2022","SPT","M","Wistar",-3.017,-4.187,-1.847,126,12
2714,"Li 2023","SPT",NA,"SD",-1.065,-2.001,-0.128,168,23
2744,"Arab 2023","SPT","M","Wistar",-4.507,-6.157,-2.858,126,16
3077,"Abuelezz 2018","SPT","M","Wistar",-2.041,-3.028,-1.054,168,24
3670,"Zhou Yunfeng 2021","SPT","M","Wistar",0.15,-0.831,1.132,168,23
3676,"Gao 2024","SPT","M","SD",-1.921,-2.981,-0.862,28,12
3926,"Yan 2023","SPT","M","SD",-0.621,-1.779,0.538,84,24
4002,"Han 2017","SPT","M","SD",-1.103,-1.769,-0.438,28,12
4745,"Cheng 2017","SPT","M","SD",-2.042,-3.123,-0.961,378,24
4794,"Liu 2022","SPT","M","SD",-0.952,-1.877,-0.027,126,6
5638,"Wang 2024","SPT","M","SD",0.57,-0.282,1.423,42,24
5638,"Wang 2024","SPT","M","SD",1.009,0.121,1.896,84,24
5638,"Wang 2024","SPT","M","SD",-0.855,-1.729,0.018,126,24
5699,"Wei 2018","SPT","M","Wistar",-0.958,-1.883,-0.032,42,23
5699,"Wei 2018","SPT","M","Wistar",-6.029,-8.093,-3.965,84,23
5699,"Wei 2018","SPT","M","Wistar",-1.058,-1.993,-0.122,126,23
5699,"Wei 2018","SPT","M","Wistar",-0.718,-1.623,0.186,168,23
5699,"Wei 2018","SPT","M","Wistar",-0.479,-1.368,0.41,210,23
5881,"Jiang 2024","SPT","M","SD",-1.773,-2.76,-0.787,42,23
5881,"Jiang 2024","SPT","M","SD",-1.841,-2.838,-0.844,84,23
5881,"Jiang 2024","SPT","M","SD",-2.462,-3.57,-1.354,126,23
6320,"Li 2025","SPT","M","SD",-2.918,-4.544,-1.292,168,24
6987,"Peng 2021","SPT","M","SD",-1.418,-2.745,-0.092,136,12
7023,"Liu 2016","SPT","M","SD",-0.699,-1.709,0.31,42,6
7023,"Liu 2016","SPT","M","SD",-0.86,-1.884,0.164,84,6
7023,"Liu 2016","SPT","M","SD",-1.6,-2.726,-0.474,126,6
7110,"Chen L. 2022","SPT","M","SD",-0.962,-1.845,-0.079,42,23
7110,"Chen L. 2022","SPT","M","SD",-1.307,-2.228,-0.387,84,23
7110,"Chen L. 2022","SPT","M","SD",-1.7,-2.676,-0.725,126,23
7592,"Zhu 2021","SPT","M","SD",-4.739,-6.652,-2.827,63,24
8637,"Wang 2025","SPT","F (pregnant)","SD",-0.486,-1.329,0.357,15,24
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-1.31,-2.39,-0.23,28,0
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-2.839,-4.228,-1.451,56,0
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-3.013,-4.445,-1.581,84,0
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-4.175,-5.923,-2.428,112,0
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-2.748,-4.115,-1.382,140,0
8767,"Aboul-Fotouh S. 2015","SPT","M","Wistar",-3.488,-5.044,-1.932,168,0
8885,"Li 2021","SPT","M","Wistar",-1.456,-2.558,-0.354,168,23
8955,"Castañeda 2015","SPT","M","SD",-2.421,-3.711,-1.131,17,1
8955,"Castañeda 2015","SPT","M","SD",-2.289,-3.549,-1.028,35,1
9234,"Lyu 2022","SPT","M","Wistar-Kyoto",0.668,-0.339,1.675,168,0
9442,"Meng 2021","SPT","M","SD",-1.911,-2.969,-0.853,126,24
9900,"Wang 2016","SPT","M","Wistar",-1.915,-2.974,-0.857,126,23
1106,"Safarzadeh 2024","EPM","M","Wistar",-1.769,-3.005,-0.534,20,NA
1129,"Liang S. 2015","EPM","M","SD",-1.559,-2.678,-0.44,126,NA
1407,"Sen 2021","EPM","M","SD",0.025,-0.955,1.005,14,NA
1497,"Judd 2025","EPM","M","SD",-0.456,-1.542,0.63,126,NA
1502,"Lefter 2018","EPM",NA,"Wistar",-1.532,-2.942,-0.122,42,NA
1565,"Ghalandari-Shamami 2019","EPM","M","Wistar",-3.805,-5.561,-2.049,20,NA
1764,"Zhong 2019","EPM","M","SD",-1.713,-2.793,-0.633,84,NA
1983,"Lehner 2017","EPM","M","Wistar",-2.311,-3.474,-1.149,45,NA
2075,"Zhu 2022","EPM","M","SD",-0.975,-1.822,-0.129,63,NA
2165,"Zhu Ying-Li 2020","EPM","M","SD",-3.787,-5.124,-2.45,126,NA
2167,"Odendaal-Gambrell 2025","EPM","M","Wistar",0.559,-0.44,1.558,28,NA
2167,"Odendaal-Gambrell 2025","EPM","F","Wistar",-0.078,-1.058,0.903,28,NA
2926,"Di Liberto 2017","EPM","F","Wistar",-1.487,-2.888,-0.087,126,NA
2949,"Lin 2019","EPM","M","SD",-0.473,-1.466,0.521,8,NA
2949,"Lin 2019","EPM","M","SD",-3.309,-4.817,-1.8,24,NA
2949,"Lin 2019","EPM","M","SD",-7.486,-10.259,-4.713,56,NA
2949,"Lin 2019","EPM","M","SD",-8.98,-12.242,-5.718,112,NA
3209,"Subamalani S. 2018","EPM","M","Wistar",-2.15,-3.571,-0.728,126,NA
3459,"Bahramzadeh Zoeram 2019","EPM","M","Wistar",-0.025,-0.843,0.793,60,NA
3733,"Sarfi 2025","EPM","M","Wistar",-1.556,-2.674,-0.437,126,NA
3822,"Bigdeli 2019","EPM","M","Wistar",-1.425,-2.407,-0.444,126,NA
3856,"Trofimiuk 2015","EPM","M","Wistar-Crl:WI(Han)",0.282,-0.703,1.267,42,NA
3926,"Yan 2023","EPM","M","SD",-0.79,-1.965,0.385,84,NA
4027,"Kim 2025","EPM","M","SD",-1.363,-2.901,0.176,20,NA
4265,"Zhu 2020","EPM","M","SD",-1.837,-2.791,-0.883,126,NA
4548,"Meftahi 2023","EPM","M","Wistar",-4.4,-6.212,-2.588,56,NA
4794,"Liu 2022","EPM","M","SD",0,-0.877,0.877,126,NA
4832,"van Zyl 2016","EPM","M","SD",0.207,-0.595,1.01,20,NA
4833,"Zhvania 2022","EPM","M","Wistar",-1.575,-2.578,-0.571,80,NA
4887,"Pansarim 2023","EPM","M","Wistar",-0.638,-1.537,0.26,66,NA
4887,"Pansarim 2023","EPM","F","Wistar",0,-0.877,0.877,66,NA
4887,"Pansarim 2023","EPM","M","Wistar",0.412,-0.474,1.298,132,NA
4887,"Pansarim 2023","EPM","F","Wistar",-0.942,-1.866,-0.018,132,NA
