"PubID","beta_CRS_length","SE_CRS_length","pval_CRS_length","beta_water_deprivation","SE_water_deprivation","pval_water_deprivation","predicted_effect","CI_LB","CI_UB"
"Safarzadeh 2024",-0.01,0.005,0.049,NA,NA,NA,-1.406,-1.988,-0.825
"Liang 2015",-0.01,0.005,0.051,NA,NA,NA,-1.433,-2.014,-0.851
"Sen 2021",-0.009,0.005,0.064,NA,NA,NA,-1.446,-2.028,-0.865
"Judd 2025",-0.01,0.005,0.043,NA,NA,NA,-1.45,-2.024,-0.875
"Lefter 2018",-0.01,0.005,0.052,NA,NA,NA,-1.418,-2,-0.835
"Ghalandari-Shamami 2019",-0.01,0.005,0.038,NA,NA,NA,-1.362,-1.922,-0.801
"Zhong 2019",-0.01,0.005,0.053,NA,NA,NA,-1.423,-2.005,-0.84
"Lehner 2017",-0.01,0.005,0.05,NA,NA,NA,-1.399,-1.978,-0.82
"Zhu 2022",-0.01,0.005,0.053,NA,NA,NA,-1.434,-2.018,-0.851
"Zhu 2020",-0.009,0.005,0.056,NA,NA,NA,-1.414,-1.987,-0.842
"Odendaal-Gambrell 2025",-0.009,0.005,0.065,NA,NA,NA,-1.454,-2.035,-0.872
"Di 2017",-0.01,0.005,0.051,NA,NA,NA,-1.433,-2.014,-0.852
"Lin 2019",-0.005,0.004,0.223,NA,NA,NA,-1.431,-1.916,-0.945
"Subamalani 2018",-0.009,0.005,0.056,NA,NA,NA,-1.422,-2.003,-0.841
"Bahramzadeh 2019",-0.009,0.005,0.055,NA,NA,NA,-1.452,-2.029,-0.874
"Sarfi 2025",-0.01,0.005,0.051,NA,NA,NA,-1.433,-2.015,-0.851
"Bigdeli 2019",-0.01,0.005,0.05,NA,NA,NA,-1.436,-2.017,-0.854
"Trofimiuk 2015",-0.009,0.005,0.059,NA,NA,NA,-1.454,-2.031,-0.878
"Yan 2023",-0.01,0.005,0.051,NA,NA,NA,-1.44,-2.021,-0.859
"Kim 2025",-0.01,0.005,0.052,NA,NA,NA,-1.417,-1.999,-0.834
"Meftahi 2023",-0.01,0.005,0.046,NA,NA,NA,-1.36,-1.917,-0.804
"Liu 2022",-0.01,0.005,0.038,NA,NA,NA,-1.457,-2.025,-0.888
"van 2016",-0.009,0.005,0.065,NA,NA,NA,-1.452,-2.031,-0.872
"Zhvania 2022",-0.01,0.005,0.053,NA,NA,NA,-1.425,-2.008,-0.842
"Pansarim 2023",-0.014,0.006,0.016,NA,NA,NA,-1.435,-2.012,-0.858
"Tang 2024",-0.01,0.005,0.053,NA,NA,NA,-1.427,-2.009,-0.844
"Hennessy 2022",-0.009,0.005,0.066,NA,NA,NA,-1.464,-2.034,-0.894
"Guedri 2017",-0.009,0.005,0.055,NA,NA,NA,-1.435,-2.019,-0.851
"Terzioglu-Usak 2018",-0.01,0.005,0.044,NA,NA,NA,-1.445,-2.028,-0.861
"Mostardeiro 2025",-0.009,0.005,0.057,NA,NA,NA,-1.416,-1.997,-0.835
"Yi 2024",-0.008,0.005,0.091,NA,NA,NA,-1.382,-1.941,-0.823
"Jahromi 2024",-0.01,0.005,0.053,NA,NA,NA,-1.421,-2.005,-0.837
"Novaes 2018",-0.01,0.005,0.048,NA,NA,NA,-1.4,-1.98,-0.819
"Tan 2021",-0.009,0.004,0.05,NA,NA,NA,-1.323,-1.833,-0.813
"Chakraborty 2020",-0.01,0.005,0.052,NA,NA,NA,-1.414,-1.999,-0.828
"Zhao 2022",-0.01,0.005,0.053,NA,NA,NA,-1.424,-2.007,-0.84
"Peng 2021",-0.01,0.005,0.052,NA,NA,NA,-1.432,-2.013,-0.851
"Liu 2016",-0.01,0.005,0.04,NA,NA,NA,-1.454,-2.025,-0.883
"Cairns 2024",-0.009,0.005,0.064,NA,NA,NA,-1.461,-2.029,-0.893
"Pentkowski 2022",-0.01,0.005,0.054,NA,NA,NA,-1.421,-2.007,-0.836
"Li 2023",-0.01,0.005,0.043,NA,NA,NA,-1.446,-2.024,-0.869
"Hadipour 2023",-0.01,0.005,0.05,NA,NA,NA,-1.406,-1.988,-0.824
"Kuan 2024",-0.009,0.005,0.064,NA,NA,NA,-1.456,-2.033,-0.88
"Rodrigues 2022",-0.009,0.005,0.054,NA,NA,NA,-1.436,-2.019,-0.852
"Dong 2017",-0.01,0.005,0.053,NA,NA,NA,-1.429,-2.012,-0.846
"Saeidi 2025",-0.008,0.005,0.1,NA,NA,NA,-1.354,-1.903,-0.805
"Ampuero 2015",-0.01,0.005,0.057,NA,NA,NA,-1.425,-2.015,-0.834
"Radahmadi 2025",-0.009,0.005,0.056,NA,NA,NA,-1.385,-1.955,-0.816
"Bagheri 2021",-0.01,0.005,0.04,NA,NA,NA,-1.348,-1.895,-0.802
"Geng 2021",-0.01,0.005,0.053,NA,NA,NA,-1.43,-2.012,-0.848
"Khankani 2024",-0.01,0.005,0.044,NA,NA,NA,-1.349,-1.896,-0.802
