"PubID","beta_CRS_length","SE_CRS_length","pval_CRS_length","beta_water_deprivation","SE_water_deprivation","pval_water_deprivation","predicted_effect","CI_LB","CI_UB"
"Sen 2021",0.001,0.003,0.842,NA,NA,NA,2.153,1.528,2.777
"Lefter 2018",0.001,0.003,0.808,NA,NA,NA,2.143,1.509,2.777
"Ghalandari-Shamami 2019",0.001,0.003,0.785,NA,NA,NA,2.126,1.491,2.761
"Zhong 2019",0.001,0.003,0.79,NA,NA,NA,2.139,1.503,2.775
"Luo 2015",0.001,0.003,0.678,NA,NA,NA,2.074,1.462,2.687
"Lehner 2017",0.001,0.003,0.73,NA,NA,NA,2.096,1.47,2.721
"Zhu 2022",0.001,0.003,0.791,NA,NA,NA,2.131,1.494,2.768
"Aboul-Fotouh 2018",0.001,0.003,0.788,NA,NA,NA,2.127,1.49,2.764
"Ndavoumta 2025",0.001,0.003,0.725,NA,NA,NA,2.095,1.472,2.719
"Zhang 2022",0.002,0.003,0.54,NA,NA,NA,2.135,1.544,2.725
"Shin 2019",0.001,0.003,0.785,NA,NA,NA,2.124,1.488,2.76
"Li 2023",0.001,0.003,0.779,NA,NA,NA,2.133,1.495,2.77
"Di 2017",0.001,0.003,0.78,NA,NA,NA,2.134,1.499,2.77
"Abuelezz 2018",0.001,0.003,0.812,NA,NA,NA,2.098,1.468,2.729
"Pechlivanova 2023",0.001,0.003,0.861,NA,NA,NA,2.153,1.541,2.766
"Nozari 2020",0.001,0.003,0.704,NA,NA,NA,2.037,1.471,2.603
"Zhou 2021",0.001,0.003,0.776,NA,NA,NA,2.134,1.497,2.77
"Gao 2024",0.001,0.003,0.8,NA,NA,NA,2.134,1.497,2.77
"Yan 2023",0.001,0.003,0.778,NA,NA,NA,2.149,1.52,2.778
"Han 2017",0.001,0.003,0.823,NA,NA,NA,2.147,1.513,2.781
"Kim 2025",0.001,0.003,0.814,NA,NA,NA,2.14,1.504,2.776
"Ayatollahi 2020",0.001,0.003,0.754,NA,NA,NA,2.066,1.457,2.676
"van 2016",0.001,0.003,0.821,NA,NA,NA,2.15,1.551,2.75
"Tang 2024",0.001,0.003,0.757,NA,NA,NA,2.153,1.534,2.772
"Du 2023",0.001,0.003,0.741,NA,NA,NA,2.144,1.512,2.777
"Afzal 2021",0.001,0.003,0.801,NA,NA,NA,2.141,1.505,2.777
"Ahmed 2023",0.001,0.003,0.639,NA,NA,NA,2.021,1.472,2.57
"Khedr 2018",0.001,0.003,0.771,NA,NA,NA,2.136,1.5,2.773
"Magdy 2017",0.001,0.003,0.768,NA,NA,NA,2.138,1.501,2.774
"Sarawi 2025",0.001,0.003,0.782,NA,NA,NA,2.122,1.487,2.756
"Peng 2022",0.001,0.003,0.81,NA,NA,NA,2.105,1.472,2.739
"Mostardeiro 2025",0.001,0.003,0.787,NA,NA,NA,2.126,1.489,2.762
"Zhi 2023",0.001,0.003,0.721,NA,NA,NA,2.152,1.53,2.774
"Feng 2019",0.001,0.003,0.79,NA,NA,NA,2.115,1.48,2.75
"Wei 2018",0.001,0.003,0.828,NA,NA,NA,2.106,1.472,2.739
"Sakhri 2021",0.001,0.003,0.769,NA,NA,NA,2.082,1.463,2.701
"Ruanpang 2025",0,0.003,0.924,NA,NA,NA,2.14,1.493,2.787
"Suwanjang 2021",0.001,0.003,0.788,NA,NA,NA,2.12,1.485,2.755
"Li 2022",0.001,0.003,0.69,NA,NA,NA,2.13,1.496,2.763
"Koncz 2023",0.001,0.003,0.814,NA,NA,NA,2.14,1.504,2.776
"Lee 2015",0.001,0.003,0.776,NA,NA,NA,2.121,1.486,2.756
"Peng 2021",0.001,0.003,0.767,NA,NA,NA,2.141,1.506,2.775
"Liu 2016",0.001,0.003,0.774,NA,NA,NA,2.14,1.505,2.776
"Adachi 2021",0.001,0.003,0.783,NA,NA,NA,2.103,1.474,2.732
"Zhu 2021",0.001,0.003,0.694,NA,NA,NA,2.087,1.524,2.651
"Yu 2024",0.001,0.003,0.676,NA,NA,NA,2.153,1.544,2.762
"García-Rojo 2017",0.001,0.003,0.683,NA,NA,NA,2.078,1.463,2.693
"Seo 2019",0.001,0.003,0.778,NA,NA,NA,2.132,1.496,2.768
"Wisłowska-Stanek 2016",0.001,0.003,0.77,NA,NA,NA,2.098,1.47,2.726
"Habib 2015",0.001,0.003,0.811,NA,NA,NA,2.095,1.466,2.723
"Chen 2025",0.001,0.003,0.777,NA,NA,NA,2.101,1.471,2.731
"Ratajczak 2020",0.001,0.003,0.822,NA,NA,NA,2.147,1.513,2.781
"Kuan 2024",0.001,0.003,0.818,NA,NA,NA,2.144,1.51,2.779
"Wang 2025",0.001,0.003,0.803,NA,NA,NA,2.134,1.497,2.77
"Aboul-Fotouh 2015",0.001,0.003,0.81,NA,NA,NA,2.084,1.46,2.707
"Li 2021",0.001,0.003,0.766,NA,NA,NA,2.138,1.502,2.774
"Phachonpai 2024",0.006,0.005,0.251,NA,NA,NA,2.165,1.535,2.795
"Arab 2023",0.001,0.003,0.756,NA,NA,NA,2.068,1.457,2.679
"Mehta-Raghavan 2016",0.001,0.003,0.824,NA,NA,NA,2.151,1.535,2.767
"Meng 2021",0.001,0.003,0.762,NA,NA,NA,2.146,1.513,2.779
"Saeidi 2025",0.001,0.003,0.656,NA,NA,NA,2.037,1.456,2.617
"Zhang 2021",0.001,0.003,0.768,NA,NA,NA,2.077,1.459,2.696
"Pan 2019",0.001,0.003,0.77,NA,NA,NA,2.114,1.481,2.747
"Ampuero 2015",0.001,0.003,0.818,NA,NA,NA,2.141,1.502,2.781
"Samarghandian 2017",0.001,0.003,0.792,NA,NA,NA,2.13,1.494,2.766
"Wang 2016",0.001,0.003,0.778,NA,NA,NA,2.138,1.501,2.774
"Gavrilovic 2021",0.001,0.003,0.821,NA,NA,NA,2.146,1.513,2.78
