"PubID","beta_CRS_length","SE_CRS_length","pval_CRS_length","beta_water_deprivation","SE_water_deprivation","pval_water_deprivation","predicted_effect","CI_LB","CI_UB"
"Valipour 2024",-0.011,0.006,0.086,NA,NA,NA,-1.069,-2.465,0.326
"Liang 2015",-0.011,0.006,0.091,NA,NA,NA,-1.097,-2.491,0.297
"Sen 2021",-0.01,0.006,0.1,NA,NA,NA,-1.148,-2.546,0.25
"Subamalani 2018",-0.011,0.006,0.089,NA,NA,NA,-1.126,-2.519,0.268
"Yan 2023",-0.011,0.006,0.09,NA,NA,NA,-1.146,-2.54,0.248
"Li 2017",-0.011,0.006,0.072,NA,NA,NA,-1.392,-2.483,-0.301
"Song 2020",-0.011,0.006,0.088,NA,NA,NA,-1.133,-2.526,0.261
"Khedr 2018",-0.012,0.006,0.058,NA,NA,NA,-1.285,-2.608,0.038
"Magdy 2017",-0.012,0.006,0.06,NA,NA,NA,-1.275,-2.608,0.057
"Wang 2024",-0.007,0.009,0.454,NA,NA,NA,-1.133,-2.599,0.334
"Yi 2024",-0.01,0.006,0.113,NA,NA,NA,-1.002,-2.367,0.364
"Sakhri 2021",-0.01,0.006,0.097,NA,NA,NA,-1.01,-2.381,0.361
"Moreno-Martinez 2022",-0.011,0.006,0.084,NA,NA,NA,-1.056,-2.452,0.34
"Zhang 2022",-0.01,0.006,0.097,NA,NA,NA,-0.763,-1.893,0.368
"Tan 2021",-0.011,0.006,0.095,NA,NA,NA,-1.118,-2.546,0.309
"Olave 2022",-0.01,0.006,0.093,NA,NA,NA,-1.128,-2.527,0.27
"Peng 2021",-0.011,0.006,0.089,NA,NA,NA,-1.123,-2.517,0.27
"Adachi 2021",-0.01,0.006,0.1,NA,NA,NA,-0.888,-2.17,0.394
"Hadipour 2023",-0.011,0.006,0.084,NA,NA,NA,-1.055,-2.448,0.338
"Saeidi 2025",-0.012,0.007,0.101,NA,NA,NA,-1.03,-2.443,0.383
"Pan 2019",-0.01,0.006,0.098,NA,NA,NA,-1.249,-2.611,0.113
