"PubID","beta_CRS_length","SE_CRS_length","pval_CRS_length","beta_water_deprivation","SE_water_deprivation","pval_water_deprivation","predicted_effect","CI_LB","CI_UB"
"Liang 2015",-0.003,0.002,0.183,0.004,0.03,0.887,-1.717,-2.88,-0.553
"Zhu 2022",-0.003,0.002,0.162,0.008,0.028,0.786,-1.731,-2.822,-0.64
"Zhu 2020",-0.003,0.002,0.186,0.006,0.029,0.842,-1.715,-2.824,-0.606
"Qian 2020",-0.003,0.002,0.191,0.003,0.029,0.932,-1.696,-2.816,-0.577
"Aboul-Fotouh 2018",-0.002,0.003,0.369,0.001,0.031,0.97,-1.645,-2.88,-0.41
"Zhang 2022",-0.003,0.002,0.199,0.001,0.028,0.962,-1.616,-2.716,-0.516
"Li 2023",-0.003,0.002,0.173,0.002,0.029,0.942,-1.702,-2.815,-0.588
"Arab 2023",-0.003,0.002,0.207,0.004,0.026,0.891,-1.621,-2.642,-0.6
"Abuelezz 2018",-0.003,0.002,0.19,0.005,0.029,0.876,-1.708,-2.825,-0.59
"Zhou 2021",-0.003,0.002,0.158,0,0.027,0.993,-1.696,-2.749,-0.643
"Gao 2024",-0.003,0.002,0.171,0.003,0.029,0.923,-1.671,-2.797,-0.545
"Yan 2023",-0.003,0.002,0.2,0.001,0.029,0.965,-1.688,-2.796,-0.579
"Han 2017",-0.003,0.002,0.196,0.004,0.029,0.886,-1.721,-2.856,-0.587
"Cheng 2017",-0.004,0.003,0.184,0.003,0.029,0.92,-1.71,-2.829,-0.591
"Liu 2022",-0.003,0.002,0.177,0.007,0.029,0.802,-1.793,-2.951,-0.635
"Wang 2024",-0.002,0.002,0.431,-0.004,0.026,0.884,-1.622,-2.623,-0.621
"Wei 2018",-0.007,0.002,0.004,0.007,0.025,0.782,-1.833,-2.781,-0.885
"Jiang 2024",-0.003,0.002,0.223,0.005,0.03,0.864,-1.705,-2.841,-0.569
"Li 2025",-0.003,0.002,0.204,0.006,0.028,0.827,-1.713,-2.809,-0.617
"Peng 2021",-0.003,0.002,0.182,0.004,0.029,0.884,-1.721,-2.854,-0.589
"Liu 2016",-0.003,0.002,0.253,0.006,0.03,0.84,-1.761,-2.943,-0.579
"Chen 2022",-0.003,0.003,0.258,0.003,0.03,0.931,-1.689,-2.832,-0.546
"Zhu 2021",-0.003,0.002,0.141,0.011,0.026,0.68,-1.749,-2.761,-0.736
"Wang 2025",-0.003,0.002,0.236,0.001,0.029,0.977,-1.68,-2.789,-0.57
"Aboul-Fotouh 2015",-0.002,0.003,0.439,-0.008,0.03,0.79,-1.437,-2.623,-0.25
"Li 2021",-0.003,0.002,0.18,0.003,0.029,0.917,-1.703,-2.822,-0.585
"Castañeda 2015",-0.003,0.002,0.164,-0.003,0.03,0.914,-1.548,-2.737,-0.359
"Lyu 2022",-0.004,0.002,0.114,0.026,0.027,0.348,-2.152,-3.212,-1.092
"Meng 2021",-0.003,0.002,0.184,0.005,0.029,0.875,-1.709,-2.827,-0.591
"Wang 2016",-0.003,0.002,0.184,0.004,0.029,0.878,-1.707,-2.824,-0.59
"Li 2022",-0.003,0.002,0.186,0.004,0.029,0.893,-1.705,-2.824,-0.587
